
=====================================================================================================================
                                          Overall     BaseGame     FreeGame  FreeGameAll   MysteryWin
=====================================================================================================================
SpinTime 48 Award Time        : 0
SpinTime 49 Award Time        : 0
SpinTime 50 Award Time        : 0
SpinTime 51 Award Time        : 0
SpinTime 52 Award Time        : 0
SpinTime 53 Award Time        : 0
SpinTime 54 Award Time        : 0
SpinTime 55 Award Time        : 0
SpinTime 56 Award Time        : 0
SpinTime 57 Award Time        : 0
SpinTime 58 Award Time        : 0
SpinTime 59 Award Time        : 0
SpinTime 60 Award Time        : 0
SpinTime 61 Award Time        : 0
SpinTime 62 Award Time        : 0
SpinTime 63 Award Time        : 0
SpinTime 64 Award Time        : 0
SpinTime 65 Award Time        : 0
SpinTime 66 Award Time        : 0
SpinTime 67 Award Time        : 0
SpinTime 68 Award Time        : 0
SpinTime 69 Award Time        : 0
SpinTime 70 Award Time        : 0
SpinTime 71 Award Time        : 0
SpinTime 72 Award Time        : 0
SpinTime 73 Award Time        : 0
SpinTime 74 Award Time        : 0
SpinTime 75 Award Time        : 0
SpinTime 76 Award Time        : 0
SpinTime 77 Award Time        : 0
SpinTime 78 Award Time        : 0
SpinTime 79 Award Time        : 0
SpinTime 80 Award Time        : 0
SpinTime 81 Award Time        : 0
SpinTime 82 Award Time        : 0
SpinTime 83 Award Time        : 0
SpinTime 84 Award Time        : 0
SpinTime 85 Award Time        : 0
SpinTime 86 Award Time        : 0
SpinTime 87 Award Time        : 0
SpinTime 88 Award Time        : 0
SpinTime 89 Award Time        : 0
SpinTime 90 Award Time        : 0
SpinTime 91 Award Time        : 0
SpinTime 92 Award Time        : 0
SpinTime 93 Award Time        : 0
SpinTime 94 Award Time        : 0
SpinTime 95 Award Time        : 0
SpinTime 96 Award Time        : 0
SpinTime 97 Award Time        : 0
SpinTime 98 Award Time        : 0
SpinTime 99 Award Time        : 0
SpinTime 100 Award Time        : 0
SpinTime 101 Award Time        : 0
SpinTime 102 Award Time        : 0
SpinTime 103 Award Time        : 0
SpinTime 104 Award Time        : 0
SpinTime 105 Award Time        : 0
SpinTime 106 Award Time        : 0
SpinTime 107 Award Time        : 0
SpinTime 108 Award Time        : 0
SpinTime 109 Award Time        : 0
SpinTime 110 Award Time        : 0
SpinTime 111 Award Time        : 0
SpinTime 112 Award Time        : 0
SpinTime 113 Award Time        : 0
SpinTime 114 Award Time        : 0
SpinTime 115 Award Time        : 0
SpinTime 116 Award Time        : 0
SpinTime 117 Award Time        : 0
SpinTime 118 Award Time        : 0
SpinTime 119 Award Time        : 0
SpinTime 120 Award Time        : 0
SpinTime 121 Award Time        : 0
SpinTime 122 Award Time        : 0
SpinTime 123 Award Time        : 0
SpinTime 124 Award Time        : 0
SpinTime 125 Award Time        : 0
SpinTime 126 Award Time        : 0
SpinTime 127 Award Time        : 0
SpinTime 128 Award Time        : 0
SpinTime 129 Award Time        : 0
SpinTime 130 Award Time        : 0
SpinTime 131 Award Time        : 0
SpinTime 132 Award Time        : 0
SpinTime 133 Award Time        : 0
SpinTime 134 Award Time        : 0
SpinTime 135 Award Time        : 0
SpinTime 136 Award Time        : 0
SpinTime 137 Award Time        : 0
SpinTime 138 Award Time        : 0
SpinTime 139 Award Time        : 0
SpinTime 140 Award Time        : 0
SpinTime 141 Award Time        : 0
SpinTime 142 Award Time        : 0
SpinTime 143 Award Time        : 0
SpinTime 144 Award Time        : 0
SpinTime 145 Award Time        : 0
SpinTime 146 Award Time        : 0
SpinTime 147 Award Time        : 0
SpinTime 148 Award Time        : 0
SpinTime 149 Award Time        : 0
SpinTime 150 Award Time        : 0
SpinTime 151 Award Time        : 0
SpinTime 152 Award Time        : 0
SpinTime 153 Award Time        : 0
SpinTime 154 Award Time        : 0
SpinTime 155 Award Time        : 0
SpinTime 156 Award Time        : 0
SpinTime 157 Award Time        : 0
SpinTime 158 Award Time        : 0
SpinTime 159 Award Time        : 0
SpinTime 160 Award Time        : 0
SpinTime 161 Award Time        : 0
SpinTime 162 Award Time        : 0
SpinTime 163 Award Time        : 0
SpinTime 164 Award Time        : 0
SpinTime 165 Award Time        : 0
SpinTime 166 Award Time        : 0
SpinTime 167 Award Time        : 0
SpinTime 168 Award Time        : 0
SpinTime 169 Award Time        : 0
SpinTime 170 Award Time        : 0
SpinTime 171 Award Time        : 0
SpinTime 172 Award Time        : 0
SpinTime 173 Award Time        : 0
SpinTime 174 Award Time        : 0
SpinTime 175 Award Time        : 0
SpinTime 176 Award Time        : 0
SpinTime 177 Award Time        : 0
SpinTime 178 Award Time        : 0
SpinTime 179 Award Time        : 0
SpinTime 180 Award Time        : 0
SpinTime 181 Award Time        : 0
SpinTime 182 Award Time        : 0
SpinTime 183 Award Time        : 0
SpinTime 184 Award Time        : 0
SpinTime 185 Award Time        : 0
SpinTime 186 Award Time        : 0
SpinTime 187 Award Time        : 0
SpinTime 188 Award Time        : 0
SpinTime 189 Award Time        : 0
SpinTime 190 Award Time        : 0
SpinTime 191 Award Time        : 0
SpinTime 192 Award Time        : 0
SpinTime 193 Award Time        : 0
SpinTime 194 Award Time        : 0
SpinTime 195 Award Time        : 0
SpinTime 196 Award Time        : 0
SpinTime 197 Award Time        : 0
SpinTime 198 Award Time        : 0
SpinTime 199 Award Time        : 0
SpinTime 200 Award Time        : 0
SpinTime 201 Award Time        : 0
SpinTime 202 Award Time        : 0
SpinTime 203 Award Time        : 0
SpinTime 204 Award Time        : 0
SpinTime 205 Award Time        : 0
SpinTime 206 Award Time        : 0
SpinTime 207 Award Time        : 0
SpinTime 208 Award Time        : 0
